id;title;key;series;name;volume;year
2484286;FCS;conf/fcs/2007;;Proceedings of the 2007 International Conference on Foundations of Computer Science, FCS 2007, June 25-28, 2007, Las Vegas, Nevada, USA;null;2007
2484293;FCS;conf/fcs/2009;;Proceedings of the 2009 International Conference on Foundations of Computer Science, FCS 2009, July 13-16, 2009, Las Vegas, Nevada, USA;null;2009
2484333;FCS;conf/fcs/2005;;Proceedings of The 2005 International Conference on Foundations of Computer Science, FCS 2005, Las Vegas, Nevada, USA, June 27-30, 2005;null;2005
2484363;FCS;conf/fcs/2008;;Proceedings of the 2008 International Conference on Foundations of Computer Science, FCS 2008, July 14-17, 2008, Las Vegas, Nevada, USA;null;2008
2484377;FCS;conf/fcs/2006;;Proceedings of the 2006 International Conference on Foundations of Computer Science, Las Vegas, Nevada, USA, June 26-29, 2006;null;2006
2484469;FCS;conf/fcs/2010;;Proceedings of the 2010 International Conference on Foundations of Computer Science, FCS 2010, July 12-15, 2010, Las Vegas, Nevada, USA;null;2010
2485195;IISWC;conf/iiswc/2007;;IEEE 10th International Symposium on Workload Characterization, IISWC 2007, Boston, MA, USA, 27-29 September, 2007;null;2007
2485204;IISWC;conf/iiswc/2015;;2015 IEEE International Symposium on Workload Characterization, IISWC 2015, Atlanta, GA, USA, October 4-6, 2015;null;2015
2485205;IISWC;conf/iiswc/2009;;Proceedings of the 2009 IEEE International Symposium on Workload Characterization, IISWC 2009, October 4-6, 2009, Austin, TX, USA;null;2009
2485298;IISWC;conf/iiswc/2008;;4th International Symposium on Workload Characterization (IISWC 2008), Seattle, Washington, USA, September 14-16, 2008;null;2008
2485335;IISWC;conf/iiswc/2006;;Proceedings of the 2006 IEEE International Symposium on Workload Characterization, IISWC 2006, October 25-27, 2006, San Jose, California, USA;null;2006
2485340;IISWC;conf/iiswc/2013;;Proceedings of the IEEE International Symposium on Workload Characterization, IISWC 2013, Portland, OR, USA, September 22-24, 2013;null;2013
2485364;IISWC;conf/iiswc/2016;;2016 IEEE International Symposium on Workload Characterization, IISWC 2016, Providence, RI, USA, September 25-27, 2016;null;2016
2485372;IISWC;conf/iiswc/2012;;Proceedings of the 2012 IEEE International Symposium on Workload Characterization, IISWC 2012, La Jolla, CA, USA, November 4-6, 2012;null;2012
2485392;IISWC;conf/iiswc/2014;;2014 IEEE International Symposium on Workload Characterization, IISWC 2014, Raleigh, NC, USA, October 26-28, 2014;null;2014
2485437;IISWC;conf/iiswc/2017;;2017 IEEE International Symposium on Workload Characterization, IISWC 2017, Seattle, WA, USA, October 1-3, 2017;null;2017
2485461;IISWC;conf/iiswc/2010;;Proceedings of the 2010 IEEE International Symposium on Workload Characterization, IISWC 2010, Atlanta, GA, USA, December 2-4, 2010;null;2010
2485467;IISWC;conf/iiswc/2011;;Proceedings of the 2011 IEEE International Symposium on Workload Characterization, IISWC 2011, Austin, TX, USA, November 6-8, 2011;null;2011
2485470;IISWC;conf/iiswc/2018;;2018 IEEE International Symposium on Workload Characterization, IISWC 2018, Raleigh, NC, USA, September 30 - October 2, 2018;null;2018
2485598;CAMAD;conf/camad/2015;;20th IEEE International Workshop on Computer Aided Modelling and Design of Communication Links and Networks, CAMAD 2015, Guildford, United Kingdom, September 7-9, 2015;null;2015
2485606;CAMAD;conf/camad/2009;;IEEE 14th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks, CAMAD 2009, 12 June 2009, Pisa, Italy;null;2009
2485654;CAMAD;conf/camad/1994;;Fifth IEEE International Workshop on Computer-Aided Modeling, Analysis, and Design of Communication Links and Networks, CAMAD '94, Princeton, NJ, USA, April 24-27, 1994;null;1994
2485788;CAMAD;conf/camad/2019;;24th IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks, CAMAD 2019, Limassol, Cyprus, September 11-13, 2019;null;2019
2485840;CAMAD;conf/camad/2006;;IEEE 11th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks, CAMAD 2006, 8-9 June 2006, Trento, Italy;null;2006
2485851;CAMAD;conf/camad/2013;;IEEE 18th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks, CAMAD 2013, Berlin, Germany, September 25-27, 2013;null;2013
2485897;CAMAD;conf/camad/2016;;21st IEEE International Workshop on Computer Aided Modelling and Design of Communication Links and Networks, CAMAD 2016, Toronto, ON, Canada, October 23-25, 2016;null;2016
2485907;CAMAD;conf/camad/2012;;17th IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks, CAMAD 2012, Barcelona, Spain, September 17-19, 2012;null;2012
